n, x, pi, p
9, 6,0.15, 0.000587602476563
9, 6,0.2, 0.002752512
9, 6,0.25, 0.00865173339844
9, 6,0.3, 0.021003948
9, 6,0.35, 0.0424060305703
9, 6,0.4, 0.074317824
9, 6,0.45, 0.116049276492
9, 6,0.5, 0.1640625
9, 7,0.01, 3.52836e-13
9, 7,0.05, 2.53828125e-08
9, 7,0.1, 2.916e-06
9, 7,0.15, 4.44405234375e-05
9, 7,0.2, 0.000294912
9, 7,0.25, 0.00123596191406
9, 7,0.3, 0.003857868
9, 7,0.35, 0.00978600705469
9, 7,0.4, 0.021233664
9, 7,0.45, 0.0406926034453
9, 7,0.5, 0.0703125
9, 8,0.01, 8.91e-16
9, 8,0.05, 3.33984375e-10
9, 8,0.1, 8.1e-08
9, 8,0.15, 1.96061132813e-06
9, 8,0.2, 1.8432e-05
9, 8,0.25, 0.000102996826172
9, 8,0.3, 0.000413343
9, 8,0.35, 0.00131734710352
9, 8,0.4, 0.003538944
9, 8,0.45, 0.00832348706836
9, 8,0.5, 0.017578125
9, 9,0.01, 1e-18
9, 9,0.05, 1.953125e-12
9, 9,0.1, 1e-09
9, 9,0.15, 3.8443359375e-08
9, 9,0.2, 5.12e-07
9, 9,0.25, 3.81469726562e-06
9, 9,0.3, 1.9683e-05
9, 9,0.35, 7.88156386719e-05
9, 9,0.4, 0.000262144
9, 9,0.45, 0.000756680642578
9, 9,0.5, 0.001953125
10, 0,0.01, 0.904382075009
10, 0,0.05, 0.598736939238
10, 0,0.1, 0.3486784401
10, 0,0.15, 0.196874404341
10, 0,0.2, 0.1073741824
10, 0,0.25, 0.0563135147095
10, 0,0.3, 0.0282475249
10, 0,0.35, 0.0134627433446
10, 0,0.4, 0.0060466176
10, 0,0.45, 0.00253295162119
10, 0,0.5, 0.0009765625
10, 1,0.01, 0.0913517247484
10, 1,0.05, 0.315124704862
10, 1,0.1, 0.387420489
10, 1,0.15, 0.347425419425
10, 1,0.2, 0.268435456
10, 1,0.25, 0.187711715698
10, 1,0.3, 0.121060821
10, 1,0.35, 0.0724916949326
10, 1,0.4, 0.040310784
