k, x, p
66,40.158,0.995
66,42.24,0.99
66,45.431,0.975
66,48.305,0.95
66,51.77,0.9
66,57.931,0.75
66,65.335,0.5
66,73.344,0.25
66,81.085,0.1
66,85.965,0.05
66,90.349,0.025
66,95.626,0.01
66,99.33,0.005
66,103.942,0.002
67,40.935,0.995
67,43.038,0.99
67,46.261,0.975
67,49.162,0.95
67,52.659,0.9
67,58.872,0.75
67,66.335,0.5
67,74.403,0.25
67,82.197,0.1
67,87.108,0.05
67,91.519,0.025
67,96.828,0.01
67,100.554,0.005
67,105.192,0.002
68,41.713,0.995
68,43.838,0.99
68,47.092,0.975
68,50.02,0.95
68,53.548,0.9
68,59.814,0.75
68,67.335,0.5
68,75.461,0.25
68,83.308,0.1
68,88.25,0.05
68,92.689,0.025
68,98.028,0.01
68,101.776,0.005
68,106.44,0.002
69,42.494,0.995
69,44.639,0.99
69,47.924,0.975
69,50.879,0.95
69,54.438,0.9
69,60.756,0.75
69,68.334,0.5
69,76.519,0.25
69,84.418,0.1
69,89.391,0.05
69,93.856,0.025
69,99.228,0.01
69,102.996,0.005
69,107.685,0.002
70,43.275,0.995
70,45.442,0.99
70,48.758,0.975
70,51.739,0.95
70,55.329,0.9
70,61.698,0.75
70,69.334,0.5
70,77.577,0.25
70,85.527,0.1
70,90.531,0.05
70,95.023,0.025
70,100.425,0.01
70,104.215,0.005
70,108.929,0.002
71,44.058,0.995
71,46.246,0.99
71,49.592,0.975
71,52.6,0.95
71,56.221,0.9
71,62.641,0.75
71,70.334,0.5
71,78.634,0.25
71,86.635,0.1
71,91.67,0.05
71,96.189,0.025
71,101.621,0.01
71,105.432,0.005
71,110.172,0.002
72,44.843,0.995
72,47.051,0.99
72,50.428,0.975
72,53.462,0.95
72,57.113,0.9
72,63.585,0.75
72,71.334,0.5
72,79.69,0.25
72,87.743,0.1
72,92.808,0.05
72,97.353,0.025
72,102.816,0.01
72,106.648,0.005
72,111.412,0.002
73,45.629,0.995
73,47.858,0.99
73,51.265,0.975
73,54.325,0.95
73,58.006,0.9
73,64.528,0.75
73,72.334,0.5
73,80.747,0.25
73,88.85,0.1
73,93.945,0.05
73,98.516,0.025
73,104.01,0.01
73,107.862,0.005
73,112.651,0.002
74,46.417,0.995
74,48.666,0.99
74,52.103,0.975
74,55.189,0.95
74,58.9,0.9
74,65.472,0.75
74,73.334,0.5
74,81.803,0.25
74,89.956,0.1
74,95.081,0.05
74,99.678,0.025
74,105.202,0.01
74,109.074,0.005
74,113.889,0.002
75,47.206,0.995
75,49.475,0.99
75,52.942,0.975
75,56.054,0.95
75,59.795,0.9
75,66.417,0.75
75,74.334,0.5
75,82.858,0.25
75,91.061,0.1
75,96.217,0.05
75,100.839,0.025
75,106.393,0.01
75,110.286,0.005
75,115.125,0.002
76,47.997,0.995
76,50.286,0.99
76,53.782,0.975
76,56.92,0.95
76,60.69,0.9
76,67.362,0.75
76,75.334,0.5
76,83.913,0.25
76,92.166,0.1
76,97.351,0.05
76,101.999,0.025
76,107.583,0.01
76,111.495,0.005
76,116.359,0.002
77,48.788,0.995
77,51.097,0.99
77,54.623,0.975
77,57.786,0.95
77,61.586,0.9
77,68.307,0.75
77,76.334,0.5
77,84.968,0.25
77,93.27,0.1
77,98.484,0.05
77,103.158,0.025
77,108.771,0.01
77,112.704,0.005
77,117.591,0.002
78,49.582,0.995
78,51.91,0.99
78,55.466,0.975
78,58.654,0.95
78,62.483,0.9
78,69.252,0.75
78,77.334,0.5
78,86.022,0.25
78,94.374,0.1
78,99.617,0.05
78,104.316,0.025
78,109.958,0.01
78,113.911,0.005
78,118.823,0.002
79,50.376,0.995
79,52.725,0.99
79,56.309,0.975
79,59.522,0.95
79,63.38,0.9
79,70.198,0.75
79,78.334,0.5
79,87.077,0.25
79,95.476,0.1
79,100.749,0.05
79,105.473,0.025
79,111.144,0.01
79,115.117,0.005
79,120.052,0.002
80,51.172,0.995
80,53.54,0.99
80,57.153,0.975
80,60.391,0.95
80,64.278,0.9
80,71.145,0.75
80,79.334,0.5
80,88.13,0.25
80,96.578,0.1
80,101.879,0.05
80,106.629,0.025
80,112.329,0.01
80,116.321,0.005
80,121.28,0.002
81,51.969,0.995
81,54.357,0.99
81,57.998,0.975
81,61.261,0.95
81,65.176,0.9
81,72.091,0.75
81,80.334,0.5
81,89.184,0.25
81,97.68,0.1
81,103.01,0.05
81,107.783,0.025
81,113.512,0.01
81,117.524,0.005
81,122.507,0.002
82,52.767,0.995
82,55.174,0.99
82,58.845,0.975
82,62.132,0.95
82,66.076,0.9
82,73.038,0.75
82,81.334,0.5
82,90.237,0.25
82,98.78,0.1
82,104.139,0.05
82,108.937,0.025
82,114.695,0.01
82,118.726,0.005
82,123.733,0.002
83,53.567,0.995
83,55.993,0.99
83,59.692,0.975
83,63.004,0.95
83,66.976,0.9
83,73.985,0.75
83,82.334,0.5
83,91.289,0.25
83,99.88,0.1
83,105.267,0.05
83,110.09,0.025
83,115.876,0.01
83,119.927,0.005
83,124.957,0.002
84,54.368,0.995
84,56.813,0.99
84,60.54,0.975
84,63.876,0.95
84,67.876,0.9
84,74.933,0.75
84,83.334,0.5
84,92.342,0.25
84,100.98,0.1
84,106.395,0.05
84,111.242,0.025
84,117.057,0.01
84,121.126,0.005
84,126.179,0.002
85,55.17,0.995
85,57.634,0.99
85,61.389,0.975
85,64.749,0.95
85,68.777,0.9
85,75.881,0.75
85,84.334,0.5
85,93.394,0.25
85,102.079,0.1
85,107.522,0.05
85,112.393,0.025
85,118.236,0.01
85,122.325,0.005
85,127.401,0.002
86,55.973,0.995
86,58.456,0.99
86,62.239,0.975
86,65.623,0.95
86,69.679,0.9
86,76.829,0.75
86,85.334,0.5
86,94.446,0.25
86,103.177,0.1
86,108.648,0.05
86,113.544,0.025
86,119.414,0.01
86,123.522,0.005
86,128.621,0.002
87,56.777,0.995
87,59.279,0.99
87,63.089,0.975
87,66.498,0.95
87,70.581,0.9
87,77.777,0.75
87,86.334,0.5
87,95.497,0.25
87,104.275,0.1
87,109.773,0.05
87,114.693,0.025
87,120.591,0.01
87,124.718,0.005
87,129.84,0.002
88,57.582,0.995
88,60.103,0.99
88,63.941,0.975
88,67.373,0.95
88,71.484,0.9
88,78.726,0.75
88,87.334,0.5
88,96.548,0.25
88,105.372,0.1
88,110.898,0.05
88,115.841,0.025
88,121.767,0.01
88,125.913,0.005
88,131.057,0.002
89,58.389,0.995
89,60.928,0.99
89,64.793,0.975
89,68.249,0.95
89,72.387,0.9
89,79.675,0.75
89,88.334,0.5
89,97.599,0.25
89,106.469,0.1
89,112.022,0.05
89,116.989,0.025
89,122.942,0.01
89,127.106,0.005
89,132.273,0.002
90,59.196,0.995
90,61.754,0.99
90,65.647,0.975
90,69.126,0.95
90,73.291,0.9
90,80.625,0.75
90,89.334,0.5
90,98.65,0.25
90,107.565,0.1
90,113.145,0.05
90,118.136,0.025
90,124.116,0.01
90,128.299,0.005
90,133.489,0.002
91,60.005,0.995
91,62.581,0.99
91,66.501,0.975
91,70.003,0.95
91,74.196,0.9
91,81.574,0.75
